user,password
0.0788266163418019@mail.com,user123
0.21522717896329688@mail.com,user123
0.9347015461177692@mail.com,user123
0.5807362268333973@mail.com,user123
0.645642933071329@mail.com,user123 
0.9853955857099239@mail.com,user123
0.24472305476638864@mail.com,user123
0.08421497162852633@mail.com,user123
0.04926938917333463@mail.com,user123
0.5078806813841475@mail.com,user123
0.7485166677740539@mail.com,user123
0.17946454374876514@mail.com,user123
0.7462826276006412@mail.com,user123
0.22479004828430504@mail.com,user123
0.6146046367908587@mail.com,user123
0.8484270065029255@mail.com,user123
0.8591094724401985@mail.com,user123
0.2519998941146281@mail.com,user123
0.29206688915286255@mail.com,user123
0.885336666825702@mail.com,user123 
0.7107871710715796@mail.com,user123
0.34927825505978294@mail.com,user123
0.8786420910380942@mail.com,user123
0.7592534029015332@mail.com,user123
0.4876309004151996@mail.com,user123
0.6922924697942758@mail.com,user123
0.8285899199336565@mail.com,user123
0.8478666636192229@mail.com,user123
0.3768839289871815@mail.com,user123
0.9098302806312786@mail.com,user123
